,Name,Wins,Losses,Draws,Height,Weight,Reach,Stance,Age,SLpM,StrAcc,SApM,StrDef,TDAvg,TDAcc,TDDef,SubAvg
2584,SuYoung You,16,4,0,167.6,135,65,1,30,2.15,47,2.01,68,4.26,47,66,0.4
2585,Jason Young,9,6,0,175.3,145,73,1,40,2.97,37,3.20,50,1.98,66,55,0.0
2586,Shane Young,13,8,0,172.7,145,72,1,33,5.19,40,5.46,52,0.63,18,64,0.0
2587,Shanna Young,9,6,0,170.2,125,65,1,35,3.18,47,4.88,43,0.00,0,53,0.6
2588,Gauge Young,11,4,0,175.3,155,70,1,26,6.88,52,5.73,52,1.20,31,75,0.0
2589,Sodiq Yusuff,13,5,0,175.3,155,71,1,33,5.27,49,4.29,53,0.36,23,62,0.4
2590,Gilbert Yvel,39,16,1,188.0,225,77,1,50,1.05,47,1.78,50,0.00,0,25,1.0
2591,Luke Zachrich,14,4,0,188.0,185,74,1,44,4.56,32,4.46,62,0.74,33,80,0.0
2592,Aiemann Zahabi,14,3,0,172.7,135,68,1,38,4.47,48,4.11,68,0.12,14,83,0.0
2593,Youssef Zalal,18,6,1,177.8,145,72,3,29,2.78,50,1.79,64,1.84,31,55,1.3
2594,Elizeu Zaleski dos Santos,25,10,1,180.3,170,73,1,39,4.16,41,3.56,55,0.79,20,67,0.4
2595,Zach Zane,10,7,0,170.2,145,69,2,36,0.87,56,6.67,20,0.00,0,26,0.0
2596,David Zawada,17,7,0,182.9,170,75,1,36,3.84,41,4.54,55,0.97,33,57,1.7
2597,Magomed Zaynukov,9,0,0,177.8,155,68,1,31,10.30,59,2.93,62,2.00,50,85,0.0
2598,Manolo Zecchini,11,5,0,172.7,145,68,1,29,3.72,28,12.82,45,0.00,0,0,0.0
2599,Daniel Zellhuber,15,4,0,185.4,155,77,3,27,5.45,38,6.17,54,0.14,25,81,0.3
2600,Rickson Zenidim,14,2,0,170.2,125,67,1,27,1.67,32,4.07,33,0.00,0,0,0.0
2601,Zhang Tiequan,15,4,0,172.7,155,69,1,48,1.23,36,2.14,51,1.95,58,75,3.4
2602,Zhang Lipeng,23,9,1,180.3,155,71,2,36,1.28,48,1.88,53,1.75,30,69,0.8
2603,Zhang Weili,26,4,0,162.6,115,63,3,37,4.66,52,2.63,53,1.96,44,63,0.5
2604,Zhang Mingyang,19,8,0,188.0,205,75,1,28,7.01,58,5.55,43,0.00,0,75,0.0
2605,Zhang Qinghe,16,8,1,170.2,135,67,2,24,2.87,33,4.73,49,0.00,0,50,0.0
2606,Daermisi Zhawupasi,9,2,0,172.7,135,68,3,26,1.86,40,2.36,55,7.74,65,53,1.4
2607,Daria Zhelezniakova,10,3,0,175.3,135,68,1,30,4.13,40,3.38,64,0.31,100,50,0.0
2608,Yao Zhikui,2,4,0,165.1,125,64,1,35,1.44,21,2.82,48,0.66,16,58,0.0
2609,Zhu Kangjie,21,5,0,167.6,145,70,1,30,2.93,48,1.64,66,0.32,100,50,0.0
2610,Zhalgas Zhumagulov,14,9,0,162.6,125,66,3,38,5.24,43,5.86,52,1.30,19,75,0.2
